"","X121L","X121M","X131L","X131M","X214L","X214M","X221L","X221M","X228L","X228M","X233L","X233M","X259L","X259M","X263L","X263M","X276L","X276M","X280L","X280M","X289L","X289M","X293L","X293M","X295L","X295M","X296L","X296M","X314L","X314M","X32L","X32M","X339L","X339M","X8L","X8M","X90L","X90M","CV","mean_expression"
"ENSG00000156508",13.7519930967947,13.9762380108385,13.4406669635872,13.0049128985123,13.0784111603829,13.1442503086106,14.0342088043278,13.1540438634891,12.9366631850426,13.8718377375723,12.8910775974947,12.6086368949236,13.1018351610544,13.4335473994014,13.1680507060706,13.10220280125,12.8240094978667,13.1130893377211,14.0923559568134,13.1972774708788,12.9040936466061,13.1188642043814,13.6389488171743,13.4974524953383,13.7472692225383,13.0255480857956,12.657325185972,13.0277122123381,13.177394904645,13.2951535362048,13.5023866199868,13.1349916109653,13.4481249505537,13.6128200564556,13.3884782306053,14.3159106984256,13.2593974759268,13.102678614393,3.00160786767648,13.309996300551
"ENSG00000142173",10.8586512188578,11.0585162315935,11.5132984865828,11.7460447214023,11.2790990781583,10.9490719833399,10.498464284946,10.5063521439088,11.4936778933331,10.8018732585136,11.5466545753089,11.3094230581057,11.1472689803121,10.8937644990624,10.5776729747535,10.6837973206651,11.5223955213656,11.0479968526277,10.8060126493226,10.3627388979783,11.812352610055,11.6924286331258,11.4785822509765,11.3356855743106,11.2932276683928,11.3460984735431,11.7211408310089,11.4366026310259,11.6655182843924,11.2821954958159,11.3353367158305,11.3330465686053,10.5990358473441,11.0171912933517,11.3527657416908,10.4933941261164,11.0723351175615,11.5449573739608,3.61510988370064,11.1688071017696
"ENSG00000150991",10.2380761128779,11.2031161575492,11.2836598700395,10.9277359467663,10.2505082291108,10.5079654425586,9.80937220731882,10.3777620896593,10.7621671112711,10.9207439475286,10.9256391084537,10.7767737251654,10.5567969535401,11.1433567582605,10.4483358700373,10.7558669930176,10.6547153269357,10.664936379597,11.1189920709532,10.5135390150442,11.1094356943914,10.9732720539297,10.5097625828626,11.2793738933651,10.6184061424316,11.3670955633821,10.8524464759168,11.1803658259212,10.75695425704,11.4062862750188,11.1716884758238,11.3324397875757,10.1898022260492,10.9387221112681,10.5451013219613,11.5958852440236,10.8777991031523,10.8053382634488,3.60629523972956,10.8250061740328
"ENSG00000100316",10.9628010934541,11.4767164934023,10.8350946027925,10.572431455253,10.3811986509925,10.2976067800002,10.6185561175528,10.0428927458475,10.4576286506567,10.6179103428487,10.281239298728,10.1234682472941,10.5641715127838,10.7173556773029,10.3720184219855,10.5225798787666,10.1552896862579,10.4599246203386,11.3996094702483,10.685384097326,10.5256823484806,10.6548038606134,11.0203108511416,10.8176859734017,11.2407530464119,10.4696793854442,10.266351257789,10.6328573970591,10.7144614756338,10.8876433571596,10.8381968023707,10.5052854891907,10.2987466973661,10.7394152453291,10.6906469344406,11.8806733188414,10.5180399182931,10.6524266250209,3.54496516896562,10.65519836389
"ENSG00000100345",9.88001924095065,10.2957836504576,10.6387343300358,11.3273698806481,10.6041720084915,10.7393113060734,10.334503140227,10.7237164097907,10.9192370618731,10.5830823745538,10.0087809681206,10.9187091217926,10.0338546269951,10.9857793363127,10.0771175327818,10.7142957509302,10.8756547062173,10.6830595921402,10.7715361845795,10.3589671487424,10.8004062197661,11.0980149092993,10.0044162159613,11.2968667781739,10.2787594808786,10.8706966258039,10.6216425476416,10.9357296869234,10.642788420687,10.6293298877168,10.2128572588658,11.1565830231423,10.3346372013244,10.1680598583881,10.6950519309652,10.9120724930189,10.2462184729354,11.0062246723692,3.54896201591831,10.6153694751467
"ENSG00000026025",10.4178562877117,10.98650903066,10.6064622919047,10.7438574320516,10.6579235843725,10.4088719101925,10.3446222748229,10.2609067030139,10.5541007787465,10.0711258447979,10.4248490764482,10.3317940508077,10.6028143845925,10.8588995738128,10.4472281455179,10.4937504408689,10.4577652088744,10.3974383417329,10.1115337123324,10.2670895197528,9.92404397331225,10.7632128063071,10.1688583471611,11.1154797722718,10.4476366531964,10.6905827811004,10.2846317989554,10.3523649985429,10.5714368770529,10.671731721425,10.0793256539889,10.4143719911816,9.89409339650851,9.91441398638329,10.5976819750929,11.0910659537067,11.5159782742688,11.1298597269468,3.40190194808784,10.5018991915899
"ENSG00000184009",10.0716327352918,10.6824702155888,10.7432656427284,10.8266408905099,10.103358788782,9.98394333100727,9.41483695462555,9.66671831441464,10.3430764648435,9.84772782482284,9.901469769008,10.3524433941871,10.3751111636664,10.5056718452018,10.5574039661384,10.2973037594994,10.3199174450368,10.288124992681,10.4197679304667,10.5731535206011,10.4911535719276,10.6163632427477,10.3384742482312,10.7738320776128,10.5908163403916,10.8069060516704,10.3528040985266,10.452765640335,10.4319067811377,10.7712292560656,10.7865735564415,10.8626664605598,9.88732861200188,10.0353321125641,10.6885668085869,11.0705009671688,10.4157983404043,10.6816092930707,3.47223427614813,10.4033859581196
"ENSG00000197885",10.5427134184121,10.5955736571246,10.0842638042883,9.72048514592324,9.82840971240326,9.83733078210877,10.2893413843831,9.50687306586187,9.79417813629886,10.1771482129334,9.70577108500197,9.51566680800894,9.95141112164553,9.9252858221606,9.63568269646201,9.79077803308937,9.7054429562745,9.91944113290999,10.6390291720175,10.029698779208,9.79343939301672,9.98690169734415,10.6442984617175,10.1645905863461,10.7195702399982,9.75962610865622,9.4973361888452,9.97949063632858,10.1627992066314,10.1123879605314,10.1979153826146,9.84803284371889,10.2683115253169,10.3011898427272,10.4196718047475,10.8156901612837,10.0395964177701,9.96161821229274,3.48181164654414,10.0491313578001
"ENSG00000174748",10.4977815716327,10.5259381871902,10.0285890173298,9.64800052361945,9.77017844150689,9.77581482967522,10.252002871064,9.43439954551645,9.72318727719684,10.1223411262395,9.63511686905827,9.43857875748608,9.90621503461342,9.85058746343957,9.57137607794816,9.72916004701315,9.63759047437996,9.85976447734182,10.5786541087263,9.96186645023667,9.72219525157686,9.92254486589063,10.6007253964655,10.1006358710845,10.6800959594359,9.68315773471948,9.40972844951769,9.91866448859839,10.1065167301582,10.0538171628756,10.1396041236186,9.7832987507209,10.1737942569929,10.236384824334,10.3729091828205,10.7762019254917,9.99778564688566,9.89611078601297,3.58231402238796,9.98740301469512
"ENSG00000167978",9.83814151185261,9.34582584171367,9.81659426970948,9.78828640668623,9.99391282912615,10.0889821141228,10.0856875318774,10.0336314650968,9.73977459002869,9.9796209703745,10.4485702007766,10.2465248533107,10.14739864775,9.69137135227991,9.65924404833779,10.2719703630521,9.9949399827259,10.5532294210468,10.157270099964,10.4364690447007,10.3495476801961,10.2565671837207,9.91521693839363,9.756804597935,9.69312432867143,9.78115917794928,9.82339993887375,10.3067291466884,10.1222765449795,10.2292287739484,9.61595999757586,9.48542050669725,9.4816536815923,9.60197520356604,9.95101049307912,9.50888554817995,10.3957998776886,10.1013949766373,3.08699169402562,9.96562105633962
