"Gene"
"ENSG00000232600.8"
"ENSG00000134697.15"
"ENSG00000166428.1"
"ENSG00000177699.10"
"ENSG00000254291.5"
"ENSG00000178257"
"ENSG00000179111.15"
"ENSG00000227729.2"
"ENSG00000143036.64"
"ENSG00000252947"
"ENSG00000228957.11"
"ENSG00000254833.13"
"ENSG00000213676.3"
"ENSG00000203498.1"
"ENSG00000227188.5"
"ENSG00000169188.3"
"ENSG00000240801"
"ENSG00000055044"
"ENSG00000255929.7"
"ENSG00000204348.7"
"ENSG00000100412.6"
"ENSG00000255038.1"
"ENSG00000136878.9"
"ENSG00000222592.2"
"ENSG00000283867.4"
"ENSG00000250397"
"ENSG00000122126.3"
"ENSG00000252614"
"ENSG00000145642"
"ENSG00000232983.2"
"ENSG00000221961"
"ENSG00000101986.17"
"ENSG00000235470.29"
"ENSG00000143921.6"
"ENSG00000128342.3"
"ENSG00000135469.39"
"ENSG00000229770"
"ENSG00000105679.2"
"ENSG00000228829.7"
"ENSG00000075429.3"
"ENSG00000201129.10"
"ENSG00000126062"
"ENSG00000214097.29"
"ENSG00000179314.1"
"ENSG00000149476.1"
"ENSG00000268764.13"
"ENSG00000258973.1"
"ENSG00000254928.1"
"ENSG00000119280.17"
"ENSG00000186564.3"
"ENSG00000105193.8"
"ENSG00000212385.1"
"ENSG00000163888.10"
"ENSG00000275134.10"
"ENSG00000126091.10"
"ENSG00000283374"
"ENSG00000260253.33"
"ENSG00000166897.14"
"ENSG00000138131.1"
"ENSG00000244086"
"ENSG00000168040"
"ENSG00000105146"
"ENSG00000237452.7"
"ENSG00000094914"
"ENSG00000118298.5"
"ENSG00000225891.1"
"ENSG00000234006.23"
"ENSG00000224718"
"ENSG00000174567.9"
"ENSG00000158669.2"
"ENSG00000011523.18"
"ENSG00000112062.18"
"ENSG00000166428.9"
"ENSG00000206654.25"
"ENSG00000181649.1"
"ENSG00000283440.1"
"ENSG00000197965.25"
"ENSG00000229431.9"
"ENSG00000206709.10"
"ENSG00000142677.14"
"ENSG00000275092"
"ENSG00000278842.6"
"ENSG00000188038"
"ENSG00000255422.17"
"ENSG00000250410"
"ENSG00000277157.15"
"ENSG00000232564.19"
"ENSG00000254245.35"
"ENSG00000166908.10"
"ENSG00000166592.1"
"ENSG00000258723.2"
"ENSG00000222170.4"
"ENSG00000178342.1"
"ENSG00000200376.17"
"ENSG00000174407.13"
"ENSG00000177410"
"ENSG00000229205"
"ENSG00000172771.9"
"ENSG00000100122"
"ENSG00000157193.5"
"ENSG00000161395.7"
"ENSG00000013293.11"
"ENSG00000099910.4"
"ENSG00000134686"
"ENSG00000267239.98"
"ENSG00000170374.2"
"ENSG00000125820"
"ENSG00000201643.2"
"ENSG00000092009"
"ENSG00000254230.12"
"ENSG00000236408.1"
"ENSG00000283519.9"
"ENSG00000099341"
"ENSG00000108417.2"
"ENSG00000278685.9"
"ENSG00000169509"
"ENSG00000176014"
"ENSG00000211574.2"
"ENSG00000013293.20"
"ENSG00000159753.1"
"ENSG00000153292.7"
"ENSG00000109854.2"
"ENSG00000260867.20"
"ENSG00000137100.1"
"ENSG00000253406"
"ENSG00000183570.5"
"ENSG00000213901.1"
"ENSG00000117676.1"
"ENSG00000260345.6"
"ENSG00000088827.3"
"ENSG00000173237"
"ENSG00000249934.1"
"ENSG00000272368.1"
"ENSG00000267868.10"
"ENSG00000248871.11"
"ENSG00000258572.8"
"ENSG00000034510.4"
"ENSG00000231324.12"
"ENSG00000122068.2"
"ENSG00000144355.16"
"ENSG00000160439"
"ENSG00000254291.32"
"ENSG00000183876.16"
"ENSG00000212232"
"ENSG00000212296"
"ENSG00000176716.1"
"ENSG00000163884.2"
"ENSG00000222238"
"ENSG00000271853.10"
"ENSG00000144045"
"ENSG00000277922"
"ENSG00000199906"
"ENSG00000277268.4"
"ENSG00000005513.2"
"ENSG00000151327.8"
"ENSG00000101199.1"
"ENSG00000124608.2"
"ENSG00000201085"
"ENSG00000259392.14"
"ENSG00000258466.27"
"ENSG00000224346.5"
"ENSG00000170382.12"
"ENSG00000175764.3"
"ENSG00000197965.26"
"ENSG00000229081.1"
"ENSG00000124608.3"
"ENSG00000155275"
"ENSG00000107819.2"
"ENSG00000222001.16"
"ENSG00000175970.3"
"ENSG00000102452"
"ENSG00000284488.3"
