"","GSM7470376","GSM7470377","GSM7470378","GSM7470379","GSM7470380","GSM7470381","GSM7470382","GSM7470383","GSM7470384","GSM7470385","GSM7470386","GSM7470387","GSM7470388","GSM7470389","GSM7470390","GSM7470391","CV","mean_expression"
"ENSG00000251562",14.4145230900182,14.3263763306127,14.6049859651871,13.6710408218712,15.4813575535989,13.6641461410014,14.5220742523882,15.2847271139894,13.9299146701071,13.8995488214855,14.1936190313106,15.5049507372723,14.924121782859,15.1606489215655,14.8363126972245,15.1579449713139,4.26318709804686,14.5985183063628
"ENSG00000177606",13.1007673250672,13.764022277602,12.8241540300581,14.0173733981946,12.9438260653852,13.9776993168914,12.8886203959595,13.53506558847,12.8280213785802,13.6694359517176,11.2986660407705,12.5212984491778,12.7532158491544,12.762628926243,12.2940861173817,12.0876051766805,5.61403938481804,12.9541553929584
"ENSG00000170345",12.8493039137351,13.3472198251732,12.6403505599482,13.5869656740103,12.4064236760182,13.4503161435728,12.5946142363021,12.738515415378,12.599319037418,13.1109367604371,11.5366465009063,12.3673581890471,12.635633362083,12.6761419739657,12.4158605020815,12.1644366629051,4.02073869971124,12.6950026520614
"ENSG00000198804",12.7095110812838,13.5426225384009,11.7766330092644,12.7205903471243,12.0544195246281,13.6317978688184,11.9567944263853,12.8234277125048,12.2131736512891,12.9171096184446,13.3303745916598,12.3055874946296,13.1699850749435,12.4703682301667,12.2269160349623,12.8333075009955,4.44286532026057,12.6676636690938
"ENSG00000125740",12.6857328623886,13.184943036951,12.6422236214382,13.2651384325033,12.0252243041798,13.2799497459008,12.5012624422272,13.0082253391703,12.7426401123009,13.3874072479561,11.1730570855625,12.678388128776,12.709910594483,13.0507014589501,12.3338289465723,11.7400902002974,4.756074552774,12.6505452224786
"ENSG00000198886",12.0852493708243,12.9266310812321,11.761743850908,12.6933649491337,11.6789138419654,12.9012737585751,11.7440506397177,12.8264294854873,11.8756050183174,12.8439756692545,13.1369619243306,12.1158385733429,13.1274108183333,12.3867121106357,12.1858520548753,12.7192352580824,4.1533233134027,12.4380780253135
"ENSG00000080824",13.2164842642994,12.8737114837589,13.0941218711429,13.1758845672582,12.3374733753721,11.9453373578742,12.23202177531,12.1132747645481,12.7954569157433,12.3029167198029,11.1280969678235,12.1599652590235,12.2445474044086,12.4614178604173,12.2545350168394,12.2817994870567,4.2612549171568,12.4135653181674
"ENSG00000120738",12.2150728313093,12.5878556356318,12.1200726673342,12.7624433238978,11.8208932497881,12.3908276537731,12.2234862806645,12.2999720633022,11.9593225942455,12.4905074785657,11.1717184262793,12.5073095158855,12.5901346712065,13.1397709459501,12.2174715593203,11.6506995646711,3.79079011179039,12.2592224038641
"ENSG00000156508",12.2854864932325,12.5123513270603,11.7910363610803,12.9359153537922,10.9466939395129,12.9843705849291,12.1120979798509,12.3243220149915,12.9632942267929,12.9808571621285,11.670583771873,11.3512676172351,12.6209370426113,11.8750513844965,11.6059064579986,11.9711565598531,5.14752889528842,12.1832080173399
"ENSG00000109971",12.6362950931461,12.6059442050069,12.400132197424,12.7485003150252,11.4149975019398,12.1142672471414,12.1363869241789,11.7105052539575,12.5942470499952,11.9040350607696,10.898797526901,11.5432018611638,11.7241008437755,11.9455566429892,11.8103410420839,11.3090399053773,4.4788969844863,11.9685217919297
"ENSG00000096384",12.6176597027334,12.6701566558391,12.678493398771,12.8702587863108,11.2299739503951,12.2217767777132,11.8047171214932,12.2654617080281,12.2160764229811,12.2068506716984,10.3445940511349,11.3905979254419,11.7065294121892,12.0277986715693,11.8600161462891,11.2152760284819,5.58661045541282,11.9578898394419
"ENSG00000124942",11.7923511539705,12.7204526858611,11.7851739950485,12.4121432787315,11.823612713779,12.3983131487173,11.7972270220791,12.5282344309952,11.8284182064605,12.3274616044421,10.6836037288292,11.491734911812,12.2223410162638,11.3341921407682,11.3557990393359,11.9282437218077,4.4325387310908,11.9018314249314
"ENSG00000198727",11.4323627483072,12.3284350367541,11.1911867006934,12.2778855322931,11.2615373184535,12.4460930706777,11.2022546643634,12.1077826043616,11.3960500639822,12.3494536815802,12.8468571678574,11.3575493926977,12.4592760536596,11.6749884328465,11.48517084779,12.1474541237691,4.62093275714013,11.8727710900054
"ENSG00000198786",11.571938139358,12.2949459158094,11.2919056843683,11.9218173691457,11.0806859306303,12.2945644118135,11.2845365820313,12.0907581849687,11.3261577150173,12.0442565476535,12.7284985109098,12.1726190531235,12.1401989207824,11.6487116882307,11.5443631237688,11.8170068109895,3.87966024505426,11.8283102867875
"ENSG00000087074",11.993229074205,11.9530369943556,12.0661911415068,12.3237007943321,11.4462137398025,11.9935824993985,12.0642665215972,12.2526655243434,11.9641513737872,12.1978412421312,9.88369625548979,11.2993102961949,11.4254672848262,11.7463982216528,11.7464010536229,10.7849031750162,5.3873651155447,11.6963159495164
"ENSG00000198763",11.1586701721552,11.9892356329964,10.9187384509272,11.7387935134304,10.6533558334791,12.1071155379544,11.1965720916141,11.8810437218865,11.202985850609,11.9071619122801,12.743725095647,11.7407311094932,12.3621897308072,11.9056691405697,11.6650508888801,11.9296207595674,4.65834536419491,11.6937912151436
"ENSG00000128016",11.5663751582174,11.8519059347076,10.9956449623767,11.8177457890394,11.6710582721342,11.9287667132089,11.7156843546727,11.6824764597469,11.4900869987682,11.9332804865793,10.6838385208837,11.5320565433854,11.6159575130559,11.7643227093765,11.7890269967907,11.321045610445,2.91861049090308,11.5849545639618
"ENSG00000198888",11.2054632664303,12.2094132105761,10.8239394445345,11.6131789806041,10.3292462247657,12.1395034656507,10.8409876169386,11.4792700743443,11.0062383624644,11.6587241659403,11.9780878023366,11.333334660244,11.8172535273798,11.5555345821342,11.4252512380259,11.5581746200719,4.42808159509439,11.4358500776526
