"","F_B15","F_B16","F_B17","F_B18","F_B2","F_W10","F_W14","F_W6","F1_B3","F1_B4","F1_B5","F1_W11","F1_W15","F1_W16","F2_B3","F2_B4","F2_B5","F2_W11","F2_W15","F2_W16","MyoF_B15","MyoF_B16","MyoF_B17","MyoF_B18","MyoF_B2","MyoF_B3","MyoF_B4","MyoF_B5","MyoF_W10","MyoF_W11","MyoF_W14","MyoF_W15","MyoF_W16","MyoF_W3","MyoF_W6","CV","mean_expression"
"ENSG00000198804",13.21876016985,13.8404484163808,13.6033522229638,14.4928806320809,12.7322500259823,13.1887996716327,12.1235213042255,12.9510863866596,11.84990100592,12.7783997646026,13.0440722137969,13.0635740011373,13.336191383658,12.829460628568,12.1896850656542,12.3528054821596,13.1320106133837,12.9058449816424,12.5030957844182,12.7765010949463,13.6800470850093,13.5474551702228,13.9075966547487,14.048638883837,12.5951742208958,11.9421661517623,12.6693528911083,12.4450576998262,12.8953318983702,12.3227360948367,12.3459887426099,12.8658860130007,12.8558528014134,12.0794797451308,12.9402128849675,4.80005869489622,12.9158176510686
"ENSG00000198886",12.497916103431,13.2451770176573,13.1811732080552,13.7020902920164,12.4632968329012,12.5690500293684,12.2360223214589,12.4561205041828,11.6455607349971,12.0583011296022,12.3981253992634,12.2279901675274,12.0966411036746,11.8741618913594,11.8730353012699,12.1098482124356,12.7808861362829,11.9337371732222,11.7646447507649,12.2148544488978,13.0725156094758,13.2224979037017,13.1202293183478,13.5063523510363,11.7655069493191,11.6332611943322,12.2188585831111,11.9394933546503,12.442919340694,11.1234440318163,12.3670707044356,12.6434772796418,12.5184588578631,11.5226277821141,12.4970323886415,4.78236601106991,12.3692108116443
"ENSG00000156508",11.8942556183223,11.8240034117049,11.5257564069683,11.7214335923641,11.976797549102,11.7586944567864,12.1480806984022,12.0828729569199,12.0215182764127,11.8109948094236,12.3709270581432,12.2246815789349,12.4322810624134,11.8018976378349,11.8464981205103,11.1275149925414,12.1182049581113,12.3649303152688,11.7707491788418,11.395074740801,11.9526567155682,12.1741237943624,12.1636060133797,12.1861237022748,12.2568371198848,11.7306309067947,11.8247036288611,12.7231752323228,11.5249150610532,12.7714816541361,11.3901489043774,12.3228293647486,12.0185095580383,11.3268651078055,12.0485727018678,3.11460881500926,11.9609241967224
"ENSG00000198938",11.5986641925454,12.4130572678768,12.2650283739394,12.8419408490764,11.2684498836307,11.6937802091153,10.8117131101612,11.6318948548049,11.0757138072304,11.3406742679935,11.8810977142936,11.4127567565324,11.727366270757,11.4674281800808,11.0753964730506,10.9348914122711,12.010459332715,11.5814782056443,10.9608689475269,11.6574879805572,11.7403533199081,11.8932568981697,12.2253642541246,12.4031443312835,11.0960964909428,11.641188099725,11.0032629964486,11.2871384851929,11.564486667339,11.0573112387419,10.8811306436192,11.4193700156341,11.5771740809007,10.7988114898103,11.6709182276119,4.3056093654017,11.5402615808359
"ENSG00000198727",11.8187335928033,12.4635502652938,12.529895041497,12.81244490436,11.7163752239388,11.6844214416741,10.848370205511,11.5970565728645,10.7491890154846,11.2674295664048,11.5732593975601,11.4811399208935,11.5357394661096,11.2216052459768,10.8424929180249,11.2056366219595,11.8229345633237,11.3921219139546,11.2160279728655,11.47709240564,12.1258436349966,12.1745921215511,12.1727583426821,12.0298812828636,10.6913077125255,11.2413333937905,11.2795617551539,10.7869181901608,11.4638594893818,10.4804132223843,11.23881997138,11.4371218560028,11.4155399427854,10.5562308663808,11.5220187978398,4.86394690648296,11.4820490524577
"ENSG00000140416",10.8047641472432,11.410034963615,10.8794226560785,10.8023731017753,11.4035960120582,11.4875472903664,9.9182994694945,10.0726988572203,11.5063879867772,11.3205654878383,10.745969324585,11.3167320491486,11.6879252394395,11.3440516866449,11.3610911864475,11.3951434628105,10.799761972137,11.27021577994,11.3040629414955,11.5443400760734,10.3241492559355,10.7856515012626,10.502141334057,11.5835966563062,11.3462643664084,10.9887926398459,9.89421431204042,10.7241426370938,10.554953609049,11.0441651805917,11.508924994767,11.7468129279461,11.2067540269254,10.6356390427943,10.0263936884309,4.736888404891,11.0070737104184
"ENSG00000198712",10.7343835220513,11.3999938840614,11.4072636644717,11.9507661700233,10.9592983484273,10.8389762643271,10.5572146430095,10.894391526616,10.0653960321026,10.3930186794097,10.7609542517554,10.5794930899078,10.8230575037757,10.4121461067876,10.1804347381883,10.1002708024584,10.8828155302273,10.3678450085983,10.2637349118548,10.5763256504527,11.2428741190803,11.2553315886772,11.4717891307325,11.5629448034422,10.3873548782781,10.798416029126,10.3547096063894,10.2829562888474,10.7379321365606,9.65304412299515,10.3067352324313,10.8340676094483,10.7734549245442,9.81015846165122,10.8581279125933,4.73574671026067,10.6993622049515
"ENSG00000175899",9.76403403344708,9.77784962496707,10.1431670973212,10.999993794057,10.9306277132777,10.5739891406778,11.4258731012631,11.0007607037731,10.5422082899734,10.3075237508075,11.2681701760644,10.8572725982062,10.5568168265922,10.6579788272156,10.2988709747469,10.2291019761775,10.5664940110272,11.226582357126,10.6256319711191,10.7616854866903,10.8940079295171,10.3463376878915,10.7680183518247,11.0705879843912,11.5594182330582,10.9176858115556,10.1099065998493,11.0253068828174,10.1669097663301,11.3443817132685,10.6444087756747,10.4389478670076,10.5526146821856,9.28007302431736,11.0554279438153,4.67750273493317,10.6482475916581
"ENSG00000129116",11.2104469440624,11.1642147301379,11.0296306098804,10.3721197485055,10.2630891948196,10.5595248252131,10.6719163478995,11.0378801055914,10.2641697755365,10.2728576476616,10.9889558115405,10.6286746971929,10.1081254241537,10.4117603539047,10.2300171474505,10.246447562764,10.5678502529134,10.6064385189364,10.5545372725674,10.5479460302442,10.7210883441638,10.3609225533544,10.3225022705755,10.3436423463139,9.57006775401592,9.71559964913833,9.98051508966334,10.9264428264895,8.85751831113181,10.273928002617,10.3870206837528,10.8025512197224,10.4451450580462,9.72463737615418,9.72871836514427,4.67745357186832,10.3970543671788
"ENSG00000100201",10.6619069980605,10.7257056151483,10.5509164154575,10.3535607768016,10.2975177572841,9.9383052754177,10.0781804060427,10.0284957179912,10.1034735481263,10.1867839700091,9.65336275793294,10.0552022099699,10.4629287660719,10.0698688838267,10.113054273481,10.3750509801448,10.1078916168401,9.93332036092823,10.1322601252271,10.1997079203912,10.2856467462043,10.8723205181836,10.6004657818497,10.6493282937238,10.4229505720137,10.0132721068855,10.3531546806589,9.99234349273285,10.334278704064,9.86228813663199,10.5081020103728,10.5999690616849,10.2773647495759,10.2931475235347,9.92148313599453,2.71273398179949,10.2575317111218
