"","X183L","X183M","X189L","X189M","X190L","X190M","CV","mean_expression"
"ENSG00000198298",13.6650815903361,13.869626638699,14.0031384048707,14.0975845827699,14.1075468321446,14.0949658229414,1.25968653086992,13.9729906452936
"ENSG00000196924",13.803294346633,13.5471814987013,13.4455680777176,13.6247875502569,13.4179391203751,13.8763611885994,1.37717732345908,13.6191886303805
"ENSG00000277209",13.2501825422582,13.5312730256857,13.5558016946504,13.5186784505328,14.0359759004279,13.6055406061538,1.87415283980815,13.5829087032848
"ENSG00000175084",13.0674939528146,12.6267208656258,12.8673313655515,12.9297322754127,12.8512446255162,13.0323320662529,1.2234874414463,12.8958091918623
"ENSG00000149591",12.9728321723188,12.7203517171849,12.6777382477162,12.4363499044741,12.8344428353299,12.9962653052091,1.63750177892666,12.7729966970388
"ENSG00000277027",12.2926922277412,12.4142158911554,12.5482602856763,12.3454115871275,12.9184490574303,12.4301948635622,1.81179019689412,12.4915373187822
"ENSG00000075624",12.3120531882685,12.3227718082179,12.0758966316734,12.2421070411565,12.3636537404724,12.5221356613876,1.1908443080541,12.306436345196
"ENSG00000159176",12.004790544111,11.53542135969,11.7240918997634,11.3934942570574,11.5978866036235,11.7601454779856,1.80936481376109,11.6693050237051
"ENSG00000130176",11.3414751060594,11.4005861196107,11.2201024102728,11.2067915836349,11.615309189091,11.708993405988,1.81017697408154,11.4155429691095
"ENSG00000275538",11.3023794278507,11.4478948257116,11.3056367129243,11.0906369117819,11.483880913676,11.0716906129069,1.53543315226589,11.2836865674752
"ENSG00000142173",10.9324750932605,11.182549962864,11.1677877235359,11.2378335438304,11.4190017788288,11.4105644481331,1.60791584614407,11.2250354250754
"ENSG00000079308",11.1509621926635,10.793551963781,10.9376842307568,11.1100236373716,10.7573319683726,11.2689647220018,1.87392825590611,11.0030864524912
"ENSG00000100345",10.9204756677763,10.7056960095361,10.7841536722516,10.9306337558399,11.1031547564576,11.2307897320361,1.7838689895874,10.9458172656496
"ENSG00000140416",11.1505953484915,10.8328165845616,10.8404120573437,10.7028942178581,10.7617820671063,10.9354100208718,1.45393897355214,10.8706517160388
"ENSG00000026025",10.7419299811298,10.6271867343974,10.6662122403235,10.980669635029,10.8419492104639,10.7941367432056,1.18793190057403,10.7753474240915
"ENSG00000175899",10.5614937089681,10.5849456865302,11.0291694497816,10.6713164739091,10.769983436875,10.6752230417648,1.59304740354339,10.7153552996381
"ENSG00000092841",10.5187840066493,10.7053637481258,10.4285585853433,10.4845299836027,10.8875443317789,10.7928049927994,1.74573913086682,10.6362642747166
"ENSG00000142156",10.6387271366783,10.5152584388004,10.6787475777204,10.2431819578445,10.4611005890692,10.2005342794251,1.89879830066563,10.456258329923
"ENSG00000100316",9.84629046382457,10.1009218782464,10.2486474355043,10.1978636055531,10.4153180366683,10.2696581352755,1.89497206369636,10.1797832591787
"ENSG00000174748",9.60416480546619,9.88104341335952,10.0868647483777,9.89623824440542,10.112720772364,10.0087184944619,1.87766755599683,9.93162507973912
"ENSG00000035862",9.65574327345578,9.69141130007218,9.92677393503031,9.87129469181008,9.69647836566505,9.87457015375094,1.19924352908795,9.78604528663072
"ENSG00000197102",9.72143643828202,9.34578268353937,9.59426936340451,9.58699447549467,9.31794462004259,9.62355843053684,1.70248994171874,9.53166433521667
"ENSG00000163431",9.48933214032204,9.43532324303695,9.36271852729889,9.43588417160334,9.59209660874402,9.70864437214837,1.32402114407522,9.50399984385894
"ENSG00000100201",9.42010100048226,9.52792092019991,9.37859610987069,9.22891944042067,9.39335095139357,9.36887425907984,1.02609575343717,9.38629378024116
"ENSG00000125868",9.36107891107744,9.30951656744777,9.42247390667581,9.35589977722901,9.10910302695785,9.46118858815526,1.32358694269288,9.33654346292386
"ENSG00000008710",9.15083638565592,8.89735640200393,9.15453040396567,8.95001826144243,9.12212268768073,9.26096619613823,1.51515618498338,9.08930505614782
"ENSG00000127022",9.11555978532668,8.87310651874477,9.33595810724724,8.96508345002292,9.01578806111782,9.06821514336577,1.74592492967876,9.06228517763753
"ENSG00000108654",8.96095957743082,9.04751037940015,8.96585163385359,8.94631983679122,9.0766384977209,9.24157349272719,1.23730163550323,9.03980890298731
"ENSG00000008988",8.76351706374536,9.00638542198426,9.20215039677017,8.9336737980597,9.15099430721118,9.064908895684,1.75830320164083,9.02027164724244
"ENSG00000141367",9.03477444689029,8.85883659625392,9.2513317277863,8.87846197249423,8.8110254821767,8.900292679075,1.82111203133349,8.95578715077941
"ENSG00000115677",8.99813517050764,8.67468240037743,9.10766831773295,8.87067798929036,9.01547092445245,9.00904147408463,1.70951762785415,8.94594604607424
"ENSG00000174099",9.04704645600586,8.80651146271628,8.95983321057027,9.06464742078181,8.62149009360351,8.96439273551814,1.89181724542981,8.91065356319931
"ENSG00000137497",8.96722241521437,8.8528488841751,8.85063763579493,8.66148306749924,8.93525757121741,8.84739294998561,1.20109961490377,8.85247375398111
"ENSG00000159840",8.96221432186857,8.65325230649328,8.86238037479928,8.65333948249302,8.9791778437171,8.86101265902143,1.63500735404053,8.82856283139878
