"","F.SC_S13","MyoF.SC_S11","MyoF.SC_S14","MyoN.SC_S15","CV","mean_expression"
"ENSG00000100345",12.1902539316676,12.2080174041116,12.5174120908944,12.2568769513239,1.23764214698665,12.2931400944994
"ENSG00000026025",12.0049070296518,11.891944984666,11.9326057588852,11.7385734587441,0.945612047549116,11.8920078079868
"ENSG00000124942",11.9163426468908,11.7777083394626,11.7749366201729,11.9998370842542,0.929841849878943,11.8672061726951
"ENSG00000150093",11.6218562554471,11.5947417891995,11.6418520253809,11.5378046659505,0.389450342409718,11.5990636839945
"ENSG00000134333",11.3153877685893,11.4447492798693,11.1857400589488,11.3312310106707,0.936808771569823,11.3192770295195
"ENSG00000067225",11.0610011047311,11.2373498253065,11.0621654925653,11.0527442657939,0.805658436157499,11.1033151720992
"ENSG00000070756",10.8471772990723,10.9137956861649,10.6830915222547,10.6112425151524,1.30548928853394,10.7638267556611
"ENSG00000035862",10.6241743919271,10.8366689144516,10.7291069976186,10.587692111102,1.04910046204562,10.6944106037748
"ENSG00000087086",10.3218732462093,10.4363196476564,10.3611706233322,10.3200722818357,0.524978607724258,10.3598589497584
"ENSG00000137076",10.3625843998204,10.2071209451046,10.4468604812974,10.1560293147537,1.31126566478806,10.293148785244
"ENSG00000034510",10.185649436436,10.3468592762404,10.2760970699835,10.3142950382621,0.677669966693139,10.2807252052305
"ENSG00000197694",9.89926623844678,10.0137655699467,10.0877485542842,9.96417669841415,0.796790534480385,9.99123926527296
"ENSG00000110321",9.91114325801457,9.91799176185819,9.82173909556383,9.84986823741945,0.475790238927907,9.87518558821401
"ENSG00000164924",9.86456485199367,9.76466395456377,9.80189004416595,9.76859887349042,0.471561499662282,9.79992943105345
"ENSG00000147065",9.63653325947121,9.75643220884865,9.71964474275529,9.73089406748269,0.534419062893448,9.71087606963946
"ENSG00000174807",9.58857226188644,9.7173838829028,9.78819830800792,9.57678495602407,1.06016577050485,9.66773485220531
"ENSG00000174444",9.63965980142556,9.78369065011724,9.68538728706047,9.5006792488724,1.21861410079711,9.65235424686892
"ENSG00000137154",9.69244516870572,9.65306477100201,9.73247509530985,9.47225889711194,1.19191049782336,9.63756098303238
"ENSG00000047849",9.65430863078291,9.64936483876216,9.72137487162178,9.50349073239723,0.953435139696053,9.63213476839102
"ENSG00000140575",9.74544179883695,9.56153725644347,9.63976335232212,9.50241004087797,1.09331956992998,9.61228811212013
"ENSG00000104765",9.49278069748327,9.54530366972196,9.48156412695972,9.2772896026499,1.24823732185485,9.44923452420371
"ENSG00000071127",9.42165130338853,9.48886744874242,9.51785579331348,9.28082353662301,1.12055424941156,9.42729952051686
"ENSG00000182670",9.46610762628947,9.38501462194948,9.49578623378587,9.31692472472713,0.859577442889069,9.41595830168799
"ENSG00000063046",9.31645336447805,9.37025546162254,9.47542575587579,9.38300617020667,0.703751350083088,9.38628518804576
"ENSG00000167978",9.35772250068456,9.28935922262941,9.31127870109841,9.5483733851995,1.25796239279952,9.37668345240297
"ENSG00000127603",9.34928978167391,9.20214150502089,9.43943893223902,9.47270040081363,1.29168702308311,9.36589265493686
"ENSG00000109971",9.34437064938247,9.36755568007906,9.3592324346275,9.36028001722957,0.103920035521419,9.35785969532965
"ENSG00000174748",9.28056490424805,9.43486947818238,9.36021985630146,9.28132767842156,0.791239204561893,9.33924547928836
"ENSG00000065308",9.49820428719365,9.32412181816526,9.30949059223341,9.22400169083837,1.23121145606287,9.33895459710767
"ENSG00000164292",9.2837089107321,9.21220832564424,9.36563862820423,9.37617863741259,0.825754814308814,9.30943362549829
"ENSG00000138674",9.34573875831328,9.10066527493359,9.30000216627376,9.17655059991386,1.21729479606667,9.23073919985862
"ENSG00000100097",9.15352685575183,9.2841195473866,9.34334107849309,9.11989519889209,1.14811975775013,9.2252206701309
"ENSG00000009307",9.22514933081776,9.22071023823606,9.19045807833905,9.21584917096121,0.168537476795787,9.21304170458852
"ENSG00000198363",9.23197187473483,9.0437402894553,9.23930946050718,9.30581727561628,1.22381488592658,9.2052097250784
"ENSG00000168385",9.31058031678615,9.07220720242895,9.17482891372464,9.23783403876189,1.09824574444422,9.19886261792541
"ENSG00000115310",9.24874215210687,9.24934539215838,9.19045807833905,9.07814441140972,0.876523566572661,9.1916725085035
